192gms,,557gms,,1138gms,,2269gms,
X,Y,X,Y,X,Y,X,Y
0.02488961393725675,0.0077937458460333175,0.08550541875934226,0.023658312687117267,0.2997546371711106,0.044320109806359476,0.18040026979146173,0.054424170860136734
0.08195712823524515,0.00827463673917972,0.13677923625307464,0.038387648066617874,0.3049790848425946,0.03144572068112428,0.23743843892070737,0.06529325148814236
0.1390126216207359,0.013010930656244923,0.1873944963053078,0.02724143373195309,0.36201657632236106,0.04255468922469374,0.29649788913068864,0.06700578591255812
0.19606033676872903,0.02050072064760977,0.2505397839617505,0.018867323408986003,0.41904366735577625,0.057345415776701714,0.35503301542205357,0.0659617991600876
0.25308931343547725,0.034623932999787055,0.33605765148937916,0.049113647199948485,0.476109060316265,0.05857726014465747,0.421550169033889,0.08833386501487883
0.3100963696147305,0.0565069979249917,0.39306576833738216,0.07062123538774845,0.5317337704844118,0.06892533484346774,0.48643855971363825,0.07509464663468801
0.3670899906564875,0.08314610152398716,0.45140861895483786,0.07877809083447262,0.573332653782948,0.07730179631549694,0.5434954673241292,0.07933030490188031
0.42407830835449634,0.11166258881000424,0.5019064492270662,0.10920201862152767,0.6029961965289501,0.0661054664284304,0.6005827807721125,0.0728022966968096
0.48106450471500484,0.14093002957083112,0.5536976864715348,0.14090489988045318,0.6576230712388571,0.08292042385000542,0.657666205101346,0.06765103652888849
0.5406700983150263,0.16122089083428381,0.6107386840507796,0.150772709208713,0.7146951817680942,0.08177424888106666,0.714747861649331,0.06312557092330895
0.5898686121748371,0.19245780697215142,0.6678054912362681,0.1515039179267963,0.7735570726024319,0.05923920809993799,0.7718178508410687,0.06273034942917821
0.6481857121120904,0.2097304032103069,0.7248217398780192,0.1701328511278284,0.8307786588573252,0.06083256826619898,0.8289125889702995,0.05357400406227608
0.7002814549650291,0.23959484252754626,0.7818754654822611,0.17549493960723384,0.8859811639370374,0.05367941821801825,0.8860253584682765,0.038034554159496636
0.7608643246626041,0.2671184434454732,0.838944394005249,0.17547519485050822,0.9430582242537735,0.050781018474524764,0.9431063079037614,0.03375940637885311
0.8178660774981088,0.2908788920576999,0.8960133225282365,0.1754554500937826,0.9923326958857741,0.055128883256952754,1.000150841045505,0.0423756265824311
0.8682697635977918,0.3128894004126801,0.9530822510512245,0.17543570533705655,1.0623774481421813,0.05311775332008395,1.057234618930989,0.03709920750204221
0.9214916465655079,0.33902917380026354,1.0101511795742124,0.17541596058033093,1.1194209206151755,0.06210945026106707,1.1142901123164806,0.04183550141910741
0.9785156734447567,0.354904610926996,1.0672201080972,0.17539621582360532,1.174317201787935,0.06596516474361991,1.1713219174332274,0.05495744247153933
1.035511415824013,0.3807927610511821,1.124299643307685,0.1716217036928347,1.23352483626116,0.07408521634456022,1.2283851890562167,0.05694024031430445
1.0925018548595213,0.40855829486239026,1.1814230194931592,0.1523274864160098,1.2894586598168027,0.08233975433233054,1.2854541175792047,0.05692049555757883
1.1494841621012806,0.4392024836603676,1.2384968978036452,0.1505555168847299,1.3320203041423633,0.10171123142022731,1.3425230461021922,0.05690075080085322
1.206484854268036,0.463338409009999,1.2955460271766386,0.15754467122622184,1.3903874028259589,0.10128427145350871,1.456660903148168,0.05686126128740154
1.2627608318845294,0.48165470135527233,1.3525651042683888,0.17517233312750813,1.4484031928672323,0.09403627896998046,1.5137358421274043,0.05471381501871697
1.3153147713341111,0.5057295858011424,1.4096336792351267,0.17527774728325074,1.503206229892582,0.10903637298567226,1.570821034237888,0.04893676028845517
1.3723320806446124,0.5239830422647698,1.4667026077581147,0.17525800252652513,1.5602748048593198,0.10914178714141487,1.6278754669546296,0.05404853094292461
1.4293465615051137,0.543237770028143,1.5237715362811026,0.17523825776979907,1.6173437333823077,0.10912204238468881,1.6849447490338672,0.05390362727373077
1.4863575068031163,0.5637440869161972,1.5808404648040901,0.17521851301307345,1.6744126619052953,0.1091022976279632,1.742013324000605,0.05400904142947294
1.543391433257363,0.5761150744938206,1.637909393327078,0.17519876825634784,1.7314815904282832,0.10908255287123758,1.7990525537986004,0.06450264532007344
1.6003836400741203,0.6032548137426885,1.694978321850066,0.17517902349962222,1.7885505189512712,0.10906280811451152,1.8561228965465877,0.0639822649134758
1.6574013029408712,0.6213831112938477,1.7468287011983388,0.18594560001178717,1.8456190939180086,0.10916822227025413,1.9132109171070706,0.05720393888346864
1.714408712676375,0.6431410173065841,1.7986173260549614,0.2185732665683946,1.9026625663910033,0.11815991921123681,1.9702646427113124,0.06256602736287409
1.7714037479431313,0.6692794852557067,1.855665041202954,0.22606305655975945,1.959764022088983,0.10662555450743971,2.027305993846807,0.07230867777866612
1.8284093898973852,0.6916631858307838,1.912733969725942,0.22604331180303383,2.0155509261867754,0.10129743462465912,2.0843724474760466,0.0731650454092172
1.8854397807891328,0.7052857625330886,1.9698018375801802,0.22639904378371245,2.0738955151224596,0.10883892541841478,2.1414251124115378,0.07890261062602688
1.9424659290058814,0.7204102461850121,2.026869351878168,0.2268799346768593,2.1309666356941976,0.10804319540438678,2.198486969809527,0.0813860441186649
1.9994910165538804,0.7359102065743399,2.083882418513671,0.24663529809010498,2.188060595999678,0.09916219964491413,2.255559787451264,0.07998955132478969
2.056499133401883,0.7574177947621399,2.1409280123241645,0.2548760415562783,2.24510767278222,0.10687797100601282,2.3126538184679957,0.07108352378282312
2.1134952293373903,0.7831807859738578,2.1979930517284023,0.25623304483670273,2.304331281123236,0.10934327340891148,2.3697531528284754,0.060300112553834495
2.1705234988916384,0.7975543161509719,2.255011068151404,0.27423618347539414,2.355599289869094,0.1261289055362078,2.4268118282202167,0.06390997625868611
2.227515705708395,0.8246940553998394,2.312072571993143,0.2768447758804995,2.416248628141652,0.130122630910118,2.483889242093202,0.06088641760272395
2.284528065231398,0.8446997366380216,2.3691415005161307,0.2768250311237739,2.4732998788521448,0.13636083177680103,2.5409528672724404,0.06274405653302084
2.34158037661064,0.8505624607672999,2.426210429039119,0.27680528636704826,2.5303553722376355,0.1410971256938658,2.5980055322079334,0.06848162174983097
2.3985962716961406,0.8693165528807998,2.486864227559753,0.2792200839221297,2.587403794498128,0.14833659786029374,2.65507552139967,0.06808640025570112
2.4555803467191506,0.899334947116436,2.539572406894667,0.28905844646784695,2.64445787365862,0.1535735274272314,2.7121387930226595,0.07006919809846579
2.5125817459984052,0.9232205546411314,2.5974168610518324,0.2768712110093392,2.7015444799941033,0.14729583704709714,2.769221863795644,0.06504309684301335
2.5695859737276594,0.9461048908660814,2.65448578957482,0.2768514662526136,2.758613408517091,0.14727609229037109,2.826285135418633,0.06702589468577802
2.626620960850656,0.9581004017063002,2.708917471318478,0.29212703808844065,2.8156685483463324,0.15213754511990407,2.883337093241625,0.0730137777275246
